Pais,Region,PCR (+),PRUEBA RAPIDA (+),PRUEBA ANTIGENO(+),TOTAL CASOS (+),FALLECIDOS
PERU,LIMA METROPOLITANA,343940,307534,149032,800506,26077
PERU,CALLAO,43460,35855,14731,94046,3388
PERU,LA LIBERTAD,15542,36849,21353,73744,4068
PERU,AREQUIPA,17655,46751,14442,78848,2740
PERU,MOQUEGUA,3843,17822,2424,24089,575
PERU,CUSCO,15903,23760,20157,59820,1361
PERU,LAMBAYEQUE,11188,33411,9292,53891,2692
PERU,PIURA,5993,45329,24023,75345,3239
PERU,AMAZONAS,4402,18064,5364,27830,502
PERU,ICA,7589,31925,11608,51122,2990
PERU,JUNIN,11524,38713,18457,68694,2454
PERU,ANCASH,14535,27603,25354,67492,2927
PERU,CAJAMARCA,13186,27104,15988,56278,1443
PERU,HUANUCO,3554,20886,6818,31258,1047
PERU,APURIMAC,5008,8278,8699,21985,580
PERU,PUNO,4646,20604,5828,31078,959
PERU,TACNA,3927,15440,5120,24487,805
PERU,LORETO,7351,26717,5369,39437,1411
PERU,SAN MARTIN,7343,27327,8191,42861,1286
PERU,AYACUCHO,6332,14764,6905,28001,817
PERU,HUANCAVELICA,1934,8043,4279,14256,422
PERU,PASCO,1009,9063,3714,13786,421
PERU,TUMBES,3613,8887,3674,16174,596
PERU,UCAYALI,2325,21777,6760,30862,977
PERU,MADRE DE DIOS,1191,9686,2122,12999,238
PERU,LIMA REGIÃ“N,12388,30525,21813,64726,3019